"id","code","description","status","version"
"294","4922","Transporte mixto.","1","3"
"295","4923","Transporte de carga por carretera.","1","3"
"296","4930","Transporte por tuberías.","1","3"
"297","5011","Transporte de pasajeros marítimo y de cabotaje.","1","3"
"298","5012","Transporte de carga marítimo y de cabotaje.","1","3"
"299","5021","Transporte fluvial de pasajeros.","1","3"
"300","5022","Transporte fluvial de carga.","1","3"
"301","5111","Transporte aéreo nacional de pasajeros.","1","3"
"302","5112","Transporte aéreo internacional de pasajeros.","1","3"
"303","5121","Transporte aéreo nacional de carga.","1","3"
"304","5122","Transporte aéreo internacional de carga.","1","3"
"305","5210","Almacenamiento y depósito.","1","3"
"306","5221","Actividades de estaciones, vías y servicios complementarios para el transporte terrestre.","1","3"
"307","5222","Actividades de puertos y servicios complementarios para el transporte acuático.","1","3"
"308","5223","Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo.","1","3"
"309","5224","Manipulación de carga.","1","3"
"310","5229","Otras actividades complementarias al transporte.","1","3"
"311","5310","Actividades postales nacionales.","1","3"
"312","5320","Actividades de mensajería.","1","3"
"313","5511","Alojamiento en hoteles.","1","3"
"314","5512","Alojamiento en apartahoteles.","1","3"
"315","5513","Alojamiento en centros vacacionales.","1","3"
"316","5514","Alojamiento rural.","1","3"
"317","5519","Otros tipos de alojamientos para visitantes.","1","3"
"318","5520","Actividades de zonas de camping y parques para vehículos recreacionales.","1","3"
"319","5530","Servicio por horas","1","3"
"320","5590","Otros tipos de alojamiento n.c.p.","1","3"
"321","5611","Expendio a la mesa de comidas preparadas.","1","3"
"322","5612","Expendio por autoservicio de comidas preparadas.","1","3"
"323","5613","Expendio de comidas preparadas en cafeterías.","1","3"
"324","5619","Otros tipos de expendio de comidas preparadas n.c.p.","1","3"
"325","5621","Catering para eventos.","1","3"
"326","5629","Actividades de otros servicios de comidas.","1","3"
"327","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento.","1","3"
"328","5811","Edición de libros.","1","3"
"329","5812","Edición de directorios y listas de correo.","1","3"
"330","5813","Edición de periódicos, revistas y otras publicaciones periódicas.","1","3"
"331","5819","Otros trabajos de edición.","1","3"
"332","5820","Edición de programas de informática (software).","1","3"
"333","5911","Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión.","1","3"
"334","5912","Actividades de posproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión.","1","3"
"335","5913","Actividades de distribución de películas cinematográficas, videos, programas, anuncios y comerciales de televisión.","1","3"
"336","5914","Actividades de exhibición de películas cinematográficas y videos.","1","3"
"337","5920","Actividades de grabación de sonido y edición de música.","1","3"
"338","6010","Actividades de programación y transmisión en el servicio de radiodifusión sonora.","1","3"
"339","6020","Actividades de programación y transmisión de televisión.","1","3"
"340","6110","Actividades de telecomunicaciones alámbricas.","1","3"
"341","6120","Actividades de telecomunicaciones inalámbricas.","1","3"
"342","6130","Actividades de telecomunicación satelital.","1","3"
"343","6190","Otras actividades de telecomunicaciones.","1","3"
"344","6201","Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas).","1","3"
"345","6202","Actividades de consultoría informática y actividades de administración de insta­laciones informáticas.","1","3"
"346","6209","Otras actividades de tecnologías de información y actividades de servicios in­formáticos.","1","3"
"347","6311","Procesamiento de datos, alojamiento (hosting) y actividades relacionadas.","1","3"
"348","6312","Portales web.","1","3"
"349","6391","Actividades de agencias de noticias.","1","3"
"350","6399","Otras actividades de servicio de información n.c.p.","1","3"
"351","6411","Banco Central.","1","3"
"352","6412","Bancos comerciales.","1","3"
"353","6421","Actividades de las corporaciones financieras.","1","3"
"354","6422","Actividades de las compañías de financiamiento.","1","3"
"355","6423","Banca de segundo piso.","1","3"
"356","6424","Actividades de las cooperativas financieras.","1","3"
"357","6431","Fideicomisos, fondos y entidades financieras similares.","1","3"
"358","6432","Fondos de cesantías.","1","3"
"359","6491","Leasing financiero (arrendamiento financiero).","1","3"
"360","6492","Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario.","1","3"
"361","6493","Actividades de compra de cartera o factoring.","1","3"
"362","6494","Otras actividades de distribución de fondos.","1","3"
"363","6495","Instituciones especiales oficiales.","1","3"
"364","6499","Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.","1","3"
"365","6511","Seguros generales.","1","3"
"366","6512","Seguros de vida.","1","3"
"367","6513","Reaseguros.","1","3"
"368","6514","Capitalización.","1","3"
"369","6521","Servicios de seguros sociales de salud.","1","3"
"370","6522","Servicios de seguros sociales de riesgos profesionales.","1","3"
"371","6531","Régimen de prima media con prestación definida (RPM).","1","3"
"372","6532","Régimen de ahorro individual (RAI).","1","3"
"373","6611","Administración de mercados financieros.","1","3"
"374","6612","Corretaje de valores y de contratos de productos básicos.","1","3"
"375","6613","Otras actividades relacionadas con el mercado de valores.","1","3"
"376","6614","Actividades de las casas de cambio.","1","3"
"377","6615","Actividades de los profesionales de compra y venta de divisas.","1","3"
"378","6619","Otras actividades auxiliares de las actividades de servicios financieros n.c.p.","1","3"
"379","6621","Actividades de agentes y corredores de seguros","1","3"
"380","6629","Evaluación de riesgos y daños, y otras actividades de servicios auxiliares","1","3"
"381","6630","Actividades de administración de fondos.","1","3"
"382","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados.","1","3"
"383","6820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata.","1","3"
"384","6910","Actividades jurídicas.","1","3"
"385","6920","Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria.","1","3"
"386","7010","Actividades de administración empresarial.","1","3"
"387","7020","Actividades de consultaría de gestión.","1","3"
"388","7110","Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica.","1","3"
"389","7120","Ensayos y análisis técnicos.","1","3"
"390","7210","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería.","1","3"
"391","7220","Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades.","1","3"
"392","7310","Publicidad.","1","3"
"393","7320","Estudios de mercado y realización de encuestas de opinión pública.","1","3"
"394","7410","Actividades especializadas de diseño.","1","3"
"395","7420","Actividades de fotografía.","1","3"
"396","7490","Otras actividades profesionales, científicas y técnicas n.c.p.","1","3"
"397","7500","Actividades veterinarias.","1","3"
"398","7710","Alquiler y arrendamiento de vehículos automotores.","1","3"
"399","7721","Alquiler y arrendamiento de equipo recreativo y deportivo.","1","3"
"400","7722","Alquiler de videos y discos.","1","3"
"401","7729","Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p.","1","3"
"402","7730","Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.","1","3"
"403","7740","Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor.","1","3"
"404","7810","Actividades de agencias de empleo.","1","3"
"405","7820","Actividades de agencias de empleo temporal.","1","3"
"406","7830","Otras actividades de suministro de recurso humano.","1","3"
"407","7911","Actividades de las agencias de viaje.","1","3"
"408","7912","Actividades de operadores turísticos.","1","3"
"409","7990","Otros servicios de reserva y actividades relacionadas.","1","3"
"410","8010","Actividades de seguridad privada.","1","3"
"411","8020","Actividades de servicios de sistemas de seguridad.","1","3"
